# 词组读音,只收「读音异于逐字默认」的条目 —— 那正是修多音字需要的。
# 从 pypinyin 的 large_pinyin 导出(参考实现用的同一份),勿手改。
㞎㞎	ba3 ba5
㹴犬	geng3 quan3
㺢㹢狓	huo4 jia1 pi1
一一对应	yi1 yi1 dui4 ying4
一丁点儿	yi1 ding1 dian3 er5
一万次地	yi1 wan4 ci4 de5
一下儿	yi1 xia4 er5
一不为少	yi1 bu4 wei2 shao3
一不做	yi1 bu1 zuo4
一不安地	yi1 bu4 an1 de5
一不小心	yi2 bu4 xiao3 xin1
一丘之貉	yi1 qiu1 zhi1 he2
一丘貉	yi1 qiu1 mo4
一丝不差	yi4 si1 bu4 cha1
一个	yi2 ge4
一个个地	yi2 ge4 ge4 de5
一个劲	yi2 ge4 jin4
一个劲儿	yi1 ge4 jin4 er5
一个劲地	yi2 ge4 jin4 de5
一个半	yi1 ge5 ban4
一个大	yi2 ge4 da4
一个子儿	yi2 ge4 zi5 er5
一个心眼	yi2 ge4 xin1 yan3
一个样	yi1 ge5 yang4
一个稿子	yi2 ge4 gao3 zi5
一中同长	yi1 zhong1 tong2 chang2
一为地	yi1 wei4 de5
一之为甚	yi1 zhi1 wei2 shen4
一了	yi1 liao3
一了百了	yi1 liao3 bai3 liao3
一了百当	yi1 liao3 bai3 dang4
一事无成	yi2 shi4 wu2 cheng2
一五一十	yi4 wu3 yi4 shi2
一些子	yi1 xie1 zi3
一仆二主	yi1 pu2 er4 zhu3
一代	yi2 dai4
一令纸	yi1 ling3 zhi3
一伙儿	yi1 huo3 er5
一会儿	yi1 hui4 er5
一似	yi1 si4
一体两面	yi4 ti3 liang3 mian4
一佛出世	yi1 fo2 chu1 shi4
一倍	yi2 bei4
一倡百和	yi1 chang4 bai3 he4
一六兀剌	yi1 liu4 wu1 la4
一再地	yi1 zai4 de5
一再地吼	yi1 zai4 de5 hou3
一出戏	yi4 chu1 xi4
一刀两断	yi4 dao1 liang3 duan4
一刀切	yi1 dao1 qie1
一分为二	yi1 fen1 wei2 er4
一分子	yi1 fen4 zi5
一分钟	yi4 fen1 zhong1
一切万物	yi1 qie1 wan4 wu4
一切地	yi1 qie4 de5
一切诸佛	yi1 qie4 zhu1 fo2
一刬	yi1 chan4
一到	yi2 dao4
一到伴	yi2 dao4 ban4
一到处	yi2 dao4 chu4
一制地	yi1 zhi4 de5
一刹那	yi1 cha4 na4
一刹那顷	yi1 cha4 na4 qing3
一刻地	yi1 ke4 de5
一劳永逸	yi4 lao2 yong3 yi4
一化	yi1 hua1
一匙	yi1 chi2
一匹	yi4 pi3
一匹马	yi4 pi3 ma3
一半	yi2 ban4
一半地	yi2 ban4 de5
一半子	yi1 ban4 zi3
一卷	yi1 juan4
一厢情愿	yi4 xiang1 qing2 yuan4
一发	yi1 fa4
一发千钧	yi1 fa4 qian1 jun1
一发破的	yi1 fa1 po4 di4
一口两匙	yi1 kou3 liang3 chi2
一口咬定	yi4 kou3 yao3 ding4
一口气	yi4 kou3 qi4
一口气儿	yi1 kou3 qi4 er5
一口气地	yi4 kou3 qi4 de5
一口长斋	yi1 kou3 chang2 zhai1
一古脑儿	yi1 gu3 nao3 er5
一只	yi1 zhi1
一叶扁舟	yi2 ye4 pian1 zhou1
一名誉地	yi1 ming2 yu4 de5
一吐为快	yi1 tu3 wei2 kuai4
一向	yi2 xiang4
一向子	yi1 xiang4 zi3
一吟一咏	yi1 yin1 yi1 yong3
一呱声	yi1 gua1 sheng1
一味地	yi1 wei4 de5
一呼百应	yi1 hu1 bai3 ying4
一命呜呼	yi2 ming4 wu1 hu1
一和	yi1 he4
一和和	yi1 he4 he2
一哄	yi2 hong4
一哄而上	yi4 hong1 er2 shang4
一哄而散	yi1 hong4 er2 san4
一哄而起	yi1 hong1 er2 qi3
一哇声	yi1 wa1 sheng1
一哭二闹	yi4 ku1 er4 nao4
一唱	yi2 chang4
一唱一和	yi1 chang4 yi1 he4
一回儿	yi4 hui2 er5
一场梦	yi4 chang2 meng4
一场空	yi1 chang2 kong1
一场雨	yi1 chang2 yu3
一均衡地	yi1 jun1 heng2 de5
一坐尽倾	yi1 zuo4 jin4 qing1
一坐尽惊	yi1 zuo4 jin4 jing1
一块儿	yi1 kuai4 er5
一块土	yi2 kuai4 tu3
一块地	yi1 kuai4 de5
一块肉	yi2 kuai4 rou4
一塌括子	yi1 ta1 kuo4 zi3
一声不响	yi4 sheng1 bu4 xiang3
一夕一朝	yi1 xi1 yi1 zhao1
一夕之间	yi4 xi1 zhi1 jian1
一多对应	yi1 duo1 dui4 ying4
一夜情	yi2 ye4 qing2
一夜走红	yi2 ye4 zou3 hong2
一夜露水	yi1 ye4 lu4 shui5
一大早儿	yi1 da4 zao3 er5
一大溜	yi1 da4 liu4
一天	yi4 tian1
一天星斗	yi1 tian1 xing1 dou3
一夫荷戟	yi1 fu1 he4 ji3
一头儿沉	yi1 tou5 er5 chen2
一如既往	yi4 ru2 ji4 wang3
一子出家	yi1 zi3 chu1 jia1
一子悟道	yi1 zi3 wu4 dao4
一字不差	yi1 zi4 bu4 cha1
一字不落	yi1 zi4 bu4 la4
一字儿	yi1 zi4 er5
一字长城	yi1 zi4 chang2 cheng2
一定	yi2 ding4
一定义地	yi2 deng5 yi4 de5
一定地	yi2 deng5 de5
一定期地	yi2 deng5 qi1 de5
一家伙	yi1 jia1 huo5
一家子	yi1 jia1 zi3
一宿	yi1 xiu3
一宿之行	yi1 xiu3 zhi1 xing2
一宿觉	yi1 xiu3 jue2
一寸葚	yi1 cun4 shen4
一对儿	yi1 dui4 er5
一将难求	yi1 jiang4 nan2 qiu2
一小部分	yi1 xiao3 bu4 fen4
一小阵儿	yi1 xiao3 zhen4 er5
一就手儿	yi1 jiu4 shou3 er5
一屈服地	yi1 qu1 fu2 de5
一帆风顺	yi1 fan2 feng1 shun4
一带儿	yi2 dai4 er2
一幕	yi2 mu4
一幕幕地	yi2 mu4 mu4 de5
一干	yi1 gan1
一干一方	yi1 gan1 yi1 fang1
一干二净	yi1 gan1 er4 jing4
一干人犯	yi1 gan1 ren2 fan4
一年三秀	yi4 nian2 san1 xiu4
一年三节	yi4 nian2 san1 jie2
一年之计	yi4 nian2 zhi1 ji4
一年到头	yi4 nian2 dao4 tou2
一年半载	yi1 nian2 ban4 zai3
一年大	yi4 nian2 da4
一年景	yi4 nian2 jing3
一年级	yi4 nian2 ji2
一度	yi2 du4
一式二份	yi1 shi4 er2 fen4
一弹指	yi1 tan2 zhi3
一弹指顷	yi1 tan2 zhi3 qing3
一律地	yi1 lv4 de5
一得	yi1 de5
一心一意	yi4 xin1 yi2 yi4
一心向往	yi4 xin1 xiang4 wang3
一忙地	yi1 mang2 de5
一念之差	yi1 nian4 zhi1 cha1
一念之间	yi2 nian4 zhi1 jian1
一怒之下	yi2 nu4 zhi1 xia4
一怔	yi2 zheng4
一性地	yi1 xing4 de5
一成	yi4 cheng2
一成形地	yi4 cheng2 xing2 de5
一扇风	yi1 shan1 feng1
一扎	yi1 za1
一扎脚儿	yi1 za1 jue2 er2
一技之长	yi1 ji4 zhi1 chang2
一把子	yi1 ba4 zi5
一抔黄沙	yi4 pou2 huang2 sha1
一折一磨	yi1 she2 yi1 mo2
一折书	yi1 she2 shu1
一抹头	yi1 mo4 tou2
一拃	yi1 zha4
一担挑	yi1 dan4 tiao1
一拧身	yi1 ning3 shen1
一拨儿	yi1 bo1 er5
一指头禅	yi1 zhi3 tou5 chan2
一排排地	yi1 pai2 pai2 de5
一撇	yi1 pie3
一撇子	yi1 pie3 zi3
一撒手儿	yi1 sa1 shou3 er5
一撮	yi1 zuo3
一斗珠	yi1 dou3 zhu1
一方面	yi4 fang1 mian4
一无所长	yi1 wu2 suo3 chang2
一无长物	yi1 wu2 chang2 wu4
一日三省	yi1 ri4 san1 xing3
一日三秋	yi2 ri4 san1 qiu1
一日为师	yi1 ri4 wei2 shi1
一日之长	yi1 ri4 zhi1 chang2
一旦	yi2 dan4
一时千载	yi1 shi2 qian1 zai3
一时地	yi1 shi2 de5
一时得逞	yi4 shi2 de2 cheng3
一时疏忽	yi4 shi2 shu1 hu1
一明了地	yi1 ming2 liao3 de5
一星儿	yi1 xing1 er5
一暴十寒	yi1 pu4 shi2 han2
一曏	yi1 xiang4
一曲	yi1 qu3
一曲阳关	yi1 qu3 yang2 guan1
一更	yi1 geng1
一月	yi2 yue4
一服	yi1 fu4
一服药	yi1 fu4 yao4
一望无垠	yi2 wang4 wu2 yin2
一望无涯	yi2 wang4 wu2 ya2
一望无际	yi2 wang4 wu2 ji4
一朝	yi1 zhao1
一朝一夕	yi1 zhao1 yi1 xi1
一朝之忿	yi1 zhao1 zhi1 fen4
一朝之患	yi1 zhao1 zhi1 huan4
一朝千里	yi1 zhao1 qian1 li3
一朝夕	yi1 zhao1 xi1
一朝怀胎	yi1 zhao1 huai2 tai1
一札眼	yi1 zha1 yan3
一板地	yi1 ban3 de5
一枪命中	yi1 qiang1 ming4 zhong4
一样地	yi1 yang4 de5
一榻括子	yi1 ta4 kuo4 zi3
一模一样	yi1 mu2 yi1 yang4
一次地	yi1 ci4 de5
一次性	yi2 ci4 xing4
一次性地	yi2 ci4 xing4 de5
一次次地	yi1 ci4 ci4 de5
一步一步	yi2 bu4 yi2 bu4
一步步	yi2 bu4 bu4
一步步地	yi2 bu4 bu4 de5
一死了之	yi1 si3 liao3 zhi1
一毂辘	yi1 gu1 lu4
一毫不差	yi1 hao2 bu4 cha1
一毫子	yi1 hao2 zi3
一气之下	yi2 qi4 zhi1 xia4
一气地	yi1 qi4 de5
一水儿	yi1 shui3 er5
一沓纸	yi4 da2 zhi3
一沓钞票	yi4 da2 chao1 piao4
一泡子	yi1 pao1 zi3
一泻千里	yi2 xie4 qian1 li3
一派胡言	yi2 pai4 hu2 yan2
一流	yi4 liu2
一流地	yi4 liu2 de5
一混汤子	yi1 hun4 tang1 zi3
一清二楚	yi4 qing1 er4 chu3
一清宿弊	yi4 qing1 su4 bi4
一湾子	yi1 wan1 zi3
一溜儿	yi1 liu4 er2
一溜兀剌	yi1 liu1 wu1 la4
一溜子	yi1 liu1 zi3
一溜烟	yi1 liu2 yan1
一点	yi4 dian3
一点儿	yi1 dian3 er5
一点点地	yi4 dian3 dian3 de5
一点论	yi4 dian3 lun4
一点钟	yi4 dian3 zhong1
一熟悉地	yi1 shu2 xi1 de5
一片昏黑	yi2 pian4 hun1 hei1
一片混乱	yi2 pian4 hun4 luan4
一片片地	yi1 pian4 pian4 de5
一片空白	yi2 pian4 kong4 bai2
